ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
3325,12.0,276.6,218,7,191.3,218,1.4458964976476738
3851,12.0,268.8,167,8,184.5,167,1.4569105691056912
4471,12.0,230.4,149,9,164.1,149,1.404021937842779
4991,12.0,231.2,142,10,162.6,142,1.4218942189421895
5556,12.0,230.8,150,11,162.7,150,1.418561770129072
6122,12.0,209.9,139,12,152.7,139,1.3745907007203668
18771,13.0,221.6,85,36,151.2,85,1.4656084656084656
19183,13.0,251.9,82,37,166.0,82,1.5174698795180723
19609,13.0,238.1,92,38,161.1,92,1.4779639975170702
20337,13.0,232.8,98,39,156.6,98,1.4865900383141764
20983,13.0,201.3,80,40,144.9,80,1.3892339544513457
21517,13.0,195.2,70,41,142.7,70,1.3679046951646812
22052,13.0,214.0,67,42,148.3,67,1.4430209035738366
22585,13.0,233.6,90,43,153.3,90,1.5238095238095237
23128,13.0,207.8,69,44,146.1,69,1.4223134839151268
23665,13.0,214.4,82,45,150.1,82,1.4283810792804799
24127,13.0,220.6,71,46,149.5,71,1.4755852842809365
24761,13.0,215.5,69,47,152.2,69,1.4159001314060449
25835,13.0,199.6,81,49,143.5,81,1.3909407665505227
26389,13.0,200.9,91,50,145.8,91,1.377914951989026
6247,14.0,410.5,254,12,208.1,254,1.972609322441134
6677,14.0,399.3,144,13,197.9,144,2.0176856998484083
7251,14.0,355.1,177,14,188.8,177,1.8808262711864407
7751,14.0,348.5,113,15,187.1,113,1.8626402993051845
8356,14.0,321.1,119,16,180.7,119,1.7769784172661873
8912,14.0,306.7,160,17,172.6,160,1.7769409038238702
9411,14.0,276.0,78,18,164.9,78,1.673741661613099
9991,14.0,252.1,92,19,160.5,92,1.5707165109034267
10517,14.0,238.6,103,20,151.2,103,1.5780423280423281
11053,14.0,245.0,88,21,150.1,88,1.6322451698867422
11575,14.0,214.4,138,22,150.3,138,1.426480372588157
12101,14.0,213.5,141,23,144.9,141,1.4734299516908211
12629,14.0,242.5,171,24,158.1,171,1.5338393421884884
13090,14.0,252.3,147,25,165.6,147,1.5235507246376814
13444,14.0,236.8,173,26,154.2,173,1.535667963683528
13992,14.0,292.3,293,27,174.6,293,1.6741122565864834
14512,14.0,225.9,179,28,153.1,179,1.4755062050947094
15056,14.0,218.4,193,29,151.6,193,1.4406332453825859
15745,14.0,196.5,136,30,142.8,136,1.3760504201680672
16240,14.0,220.9,124,31,150.8,124,1.4648541114058355
17281,14.0,225.1,167,33,161.7,167,1.3920841063698208
17701,14.0,256.5,160,34,168.1,160,1.5258774538964903
18277,14.0,230.8,223,35,160.5,223,1.438006230529595
27941,15.0,172.2,712,53,140.6,712,1.22475106685633
28597,15.0,160.3,611,54,135.2,611,1.1856508875739646
30197,15.0,165.5,175,57,137.3,175,1.2053896576839038
30618,15.0,171.4,551,58,138.9,551,1.2339812814974802
31278,15.0,182.5,331,59,146.6,331,1.2448840381991815
13579,16.0,173.4,167,26,134.7,167,1.2873051224944323
14183,16.0,174.7,150,27,137.7,150,1.2687000726216413
14683,16.0,168.9,140,28,136.6,140,1.2364568081991216
19371,17.0,247.9,94,37,161.3,94,1.536887786732796
19854,17.0,227.8,103,38,152.1,103,1.497698882314267
20456,17.0,251.5,78,39,167.3,78,1.5032875074716079
22039,17.0,295.0,127,42,178.2,127,1.655443322109989
22469,17.0,284.1,184,43,180.0,184,1.5783333333333334
23419,17.0,338.9,239,45,202.0,239,1.6777227722772277
23917,17.0,354.1,245,46,206.2,245,1.7172647914645978
24475,17.0,333.4,247,47,205.5,247,1.6223844282238442
24965,17.0,356.9,339,48,211.0,339,1.6914691943127962
25472,17.0,352.1,353,49,203.3,353,1.7319232661091983
26023,17.0,356.4,326,50,207.5,326,1.717590361445783
26690,17.0,380.1,330,51,210.0,330,1.81
27051,17.0,370.5,377,52,208.1,377,1.7803940413262855
28406,17.0,364.2,451,54,211.9,451,1.7187352524775836
28840,17.0,379.9,444,55,217.9,444,1.7434603028912343
29410,17.0,401.3,413,56,221.7,413,1.8101037437979253
29851,17.0,376.7,414,57,213.3,414,1.7660571964369431
30362,17.0,346.6,385,58,202.8,385,1.7090729783037475
30917,17.0,360.1,359,59,210.3,359,1.7123157394198765
31350,17.0,344.4,373,60,202.7,373,1.6990626541687222
2859,18.0,202.0,216,6,149.0,216,1.3557046979865772
